classes,accuracy
airplane+car_horn+chirping_birds,0.8333333333333334
airplane+car_horn+church_bells,0.7916666666666666
airplane+car_horn+clapping,0.8541666666666666
airplane+car_horn+clock_alarm,0.8333333333333334
airplane+car_horn+clock_tick,0.6875
airplane+car_horn+coughing,0.75
airplane+car_horn+cow,0.6875
airplane+car_horn+crackling_fire,0.8125
airplane+car_horn+crickets,0.8333333333333334
airplane+car_horn+crow,0.8541666666666666
airplane+car_horn+crying_baby,0.8125
airplane+car_horn+dog,0.75
airplane+car_horn+door_wood_creaks,0.625
airplane+car_horn+door_wood_knock,0.7708333333333334
airplane+car_horn+drinking_sipping,0.7083333333333334
airplane+car_horn+engine,0.7916666666666666
airplane+car_horn+fireworks,0.8333333333333334
airplane+car_horn+footsteps,0.75
airplane+car_horn+frog,0.8333333333333334
airplane+car_horn+glass_breaking,0.8333333333333334
airplane+car_horn+hand_saw,0.7708333333333334
airplane+car_horn+helicopter,0.625
airplane+car_horn+hen,0.75
airplane+car_horn+insects,0.6458333333333334
airplane+car_horn+keyboard_typing,0.7291666666666666
airplane+car_horn+laughing,0.75
airplane+car_horn+mouse_click,0.7291666666666666
airplane+car_horn+pig,0.6875
airplane+car_horn+pouring_water,0.875
airplane+car_horn+rain,0.6458333333333334
airplane+car_horn+rooster,0.8125
airplane+car_horn+sea_waves,0.8333333333333334
airplane+car_horn+sheep,0.7083333333333334
airplane+car_horn+siren,0.8125
airplane+car_horn+sneezing,0.8333333333333334
airplane+car_horn+snoring,0.7916666666666666
airplane+car_horn+thunderstorm,0.8125
airplane+car_horn+toilet_flush,0.875
airplane+car_horn+train,0.7291666666666666
airplane+car_horn+vacuum_cleaner,0.875
airplane+car_horn+washing_machine,0.6875
airplane+car_horn+water_drops,0.7916666666666666
airplane+car_horn+wind,0.7083333333333334
airplane+cat+chainsaw,0.875
airplane+cat+chirping_birds,0.8958333333333334
airplane+cat+church_bells,0.875
airplane+cat+clapping,0.9166666666666666
airplane+cat+clock_alarm,0.875
airplane+cat+clock_tick,0.6666666666666666
airplane+cat+coughing,0.875
airplane+cat+cow,0.8958333333333334
airplane+cat+crackling_fire,0.9583333333333334
airplane+cat+crickets,0.875
airplane+cat+crow,0.9166666666666666
airplane+cat+crying_baby,0.875
airplane+cat+dog,0.8541666666666666
airplane+cat+door_wood_creaks,0.7083333333333334
airplane+cat+door_wood_knock,0.9583333333333334
airplane+cat+drinking_sipping,0.8541666666666666
airplane+cat+engine,0.9583333333333334
airplane+cat+fireworks,0.8333333333333334
airplane+cat+footsteps,0.875
airplane+cat+frog,0.8333333333333334
airplane+cat+glass_breaking,0.9166666666666666
airplane+cat+hand_saw,0.9375
airplane+cat+helicopter,0.8333333333333334
airplane+cat+hen,0.7916666666666666
airplane+cat+insects,0.8125
airplane+cat+keyboard_typing,0.8333333333333334
airplane+cat+laughing,0.7291666666666666
airplane+cat+mouse_click,0.8958333333333334
airplane+cat+pig,0.8125
airplane+cat+pouring_water,0.875
airplane+cat+rain,0.7708333333333334
airplane+cat+rooster,0.8125
airplane+cat+sea_waves,0.8958333333333334
airplane+cat+sheep,0.8333333333333334
airplane+cat+siren,0.8125
airplane+cat+sneezing,0.75
airplane+cat+snoring,0.9375
airplane+cat+thunderstorm,0.9375
airplane+cat+toilet_flush,0.9583333333333334
airplane+cat+train,0.8541666666666666
airplane+cat+vacuum_cleaner,0.9375
airplane+cat+washing_machine,0.8333333333333334
airplane+cat+water_drops,0.875
airplane+cat+wind,0.8125
airplane+chainsaw+chirping_birds,0.8125
airplane+chainsaw+church_bells,0.7708333333333334
airplane+chainsaw+clapping,0.8125
airplane+chainsaw+clock_alarm,0.8541666666666666
airplane+chainsaw+clock_tick,0.875
airplane+chainsaw+coughing,0.8541666666666666
airplane+chainsaw+cow,0.8125
airplane+chainsaw+crackling_fire,0.875
airplane+chainsaw+crickets,0.8333333333333334
airplane+chainsaw+crow,0.8541666666666666
airplane+chainsaw+crying_baby,0.8541666666666666
airplane+chainsaw+dog,0.8541666666666666
airplane+chainsaw+door_wood_creaks,0.75
airplane+chainsaw+door_wood_knock,0.8958333333333334
airplane+chainsaw+drinking_sipping,0.8958333333333334
airplane+chainsaw+engine,0.8333333333333334
airplane+chainsaw+fireworks,0.8541666666666666
airplane+chainsaw+footsteps,0.8541666666666666
airplane+chainsaw+frog,0.875
airplane+chainsaw+glass_breaking,0.875
airplane+chainsaw+hand_saw,0.7083333333333334
airplane+chainsaw+helicopter,0.6666666666666666
airplane+chainsaw+hen,0.875
airplane+chainsaw+insects,0.7916666666666666
airplane+chainsaw+keyboard_typing,0.8333333333333334
airplane+chainsaw+laughing,0.8541666666666666
airplane+chainsaw+mouse_click,0.8958333333333334
airplane+chainsaw+pig,0.7916666666666666
airplane+chainsaw+pouring_water,0.8541666666666666
airplane+chainsaw+rain,0.6041666666666666
airplane+chainsaw+rooster,0.8958333333333334
airplane+chainsaw+sea_waves,0.7083333333333334
airplane+chainsaw+sheep,0.75
airplane+chainsaw+siren,0.7708333333333334
airplane+chainsaw+sneezing,0.8958333333333334
airplane+chainsaw+snoring,0.875
airplane+chainsaw+thunderstorm,0.8541666666666666
airplane+chainsaw+toilet_flush,0.8125
airplane+chainsaw+train,0.6875
airplane+chainsaw+vacuum_cleaner,0.6666666666666666
airplane+chainsaw+washing_machine,0.7083333333333334
airplane+chainsaw+water_drops,0.875
airplane+chainsaw+wind,0.6875
airplane+chirping_birds+church_bells,0.875
airplane+chirping_birds+clapping,0.9166666666666666
airplane+chirping_birds+clock_alarm,0.875
airplane+chirping_birds+clock_tick,0.9375
airplane+chirping_birds+coughing,0.9375
airplane+chirping_birds+cow,0.875
airplane+chirping_birds+crackling_fire,0.9583333333333334
airplane+chirping_birds+crickets,0.8333333333333334
airplane+chirping_birds+crow,0.9375
airplane+chirping_birds+crying_baby,0.8541666666666666
airplane+chirping_birds+dog,0.8958333333333334
airplane+chirping_birds+door_wood_creaks,0.875
airplane+chirping_birds+door_wood_knock,0.9583333333333334
airplane+chirping_birds+drinking_sipping,0.9375
airplane+chirping_birds+engine,0.9375
airplane+chirping_birds+fireworks,0.9166666666666666
airplane+chirping_birds+footsteps,0.9375
airplane+chirping_birds+frog,0.8541666666666666
airplane+chirping_birds+glass_breaking,0.9375
airplane+chirping_birds+hand_saw,0.875
airplane+chirping_birds+helicopter,0.8333333333333334
airplane+chirping_birds+hen,0.8541666666666666
airplane+chirping_birds+insects,0.7916666666666666
airplane+chirping_birds+keyboard_typing,0.8541666666666666
airplane+chirping_birds+laughing,0.875
airplane+chirping_birds+mouse_click,0.9375
airplane+chirping_birds+pig,0.8541666666666666
airplane+chirping_birds+pouring_water,0.8541666666666666
airplane+chirping_birds+rain,0.6875
airplane+chirping_birds+rooster,0.9375
airplane+chirping_birds+sea_waves,0.8333333333333334
airplane+chirping_birds+sheep,0.7916666666666666
airplane+chirping_birds+siren,0.8125
airplane+chirping_birds+sneezing,0.9375
airplane+chirping_birds+snoring,0.9583333333333334
airplane+chirping_birds+thunderstorm,0.9375
airplane+chirping_birds+toilet_flush,0.8958333333333334
airplane+chirping_birds+train,0.8541666666666666
airplane+chirping_birds+vacuum_cleaner,0.9166666666666666
airplane+chirping_birds+washing_machine,0.8125
airplane+chirping_birds+water_drops,0.9375
airplane+chirping_birds+wind,0.7916666666666666
airplane+church_bells+clapping,0.8125
airplane+church_bells+clock_alarm,0.8333333333333334
airplane+church_bells+clock_tick,0.875
airplane+church_bells+coughing,0.8958333333333334
airplane+church_bells+cow,0.8125
airplane+church_bells+crackling_fire,0.875
airplane+church_bells+crickets,0.8125
airplane+church_bells+crow,0.8958333333333334
airplane+church_bells+crying_baby,0.875
airplane+church_bells+dog,0.8333333333333334
airplane+church_bells+door_wood_creaks,0.8125
airplane+church_bells+door_wood_knock,0.8958333333333334
airplane+church_bells+drinking_sipping,0.8958333333333334
airplane+church_bells+engine,0.875
airplane+church_bells+fireworks,0.8333333333333334
airplane+church_bells+footsteps,0.875
airplane+church_bells+frog,0.875
airplane+church_bells+glass_breaking,0.8958333333333334
airplane+church_bells+hand_saw,0.8541666666666666
airplane+church_bells+helicopter,0.7291666666666666
airplane+church_bells+hen,0.875
airplane+church_bells+insects,0.75
airplane+church_bells+keyboard_typing,0.8333333333333334
airplane+church_bells+laughing,0.8125
airplane+church_bells+mouse_click,0.875
airplane+church_bells+pig,0.8333333333333334
airplane+church_bells+pouring_water,0.8958333333333334
airplane+church_bells+rain,0.75
airplane+church_bells+rooster,0.8958333333333334
airplane+church_bells+sea_waves,0.7916666666666666
airplane+church_bells+sheep,0.7916666666666666
airplane+church_bells+siren,0.6875
airplane+church_bells+sneezing,0.8958333333333334
airplane+church_bells+snoring,0.875
airplane+church_bells+thunderstorm,0.8541666666666666
airplane+church_bells+toilet_flush,0.875
airplane+church_bells+train,0.7916666666666666
airplane+church_bells+vacuum_cleaner,0.8333333333333334
airplane+church_bells+washing_machine,0.75
airplane+church_bells+water_drops,0.8541666666666666
airplane+church_bells+wind,0.7083333333333334
airplane+clapping+clock_alarm,0.8958333333333334
airplane+clapping+clock_tick,0.9375
airplane+clapping+coughing,0.9583333333333334
airplane+clapping+cow,0.8125
airplane+clapping+crackling_fire,0.9583333333333334
airplane+clapping+crickets,0.9166666666666666
airplane+clapping+crow,0.875
airplane+clapping+crying_baby,0.8541666666666666
airplane+clapping+dog,0.9375
airplane+clapping+door_wood_creaks,0.875
airplane+clapping+door_wood_knock,0.9791666666666666
airplane+clapping+drinking_sipping,0.9375
airplane+clapping+engine,0.9375
airplane+clapping+fireworks,0.9375
airplane+clapping+footsteps,0.9375
airplane+clapping+frog,0.9166666666666666
airplane+clapping+glass_breaking,0.9166666666666666
airplane+clapping+hand_saw,0.8125
airplane+clapping+helicopter,0.8333333333333334
airplane+clapping+hen,0.8333333333333334
airplane+clapping+insects,0.8541666666666666
airplane+clapping+keyboard_typing,0.9375
airplane+clapping+laughing,0.8333333333333334
airplane+clapping+mouse_click,0.9583333333333334
airplane+clapping+pig,0.7708333333333334
airplane+clapping+pouring_water,0.8541666666666666
airplane+clapping+rain,0.8125
airplane+clapping+rooster,0.9375
airplane+clapping+sea_waves,0.8541666666666666
airplane+clapping+sheep,0.7916666666666666
airplane+clapping+siren,0.875
airplane+clapping+sneezing,0.9375
airplane+clapping+snoring,0.9583333333333334
airplane+clapping+thunderstorm,0.9166666666666666
airplane+clapping+toilet_flush,0.8333333333333334
airplane+clapping+train,0.8541666666666666
airplane+clapping+vacuum_cleaner,0.8541666666666666
airplane+clapping+washing_machine,0.8333333333333334
airplane+clapping+water_drops,0.9583333333333334
airplane+clapping+wind,0.8125
airplane+clock_alarm+clock_tick,0.8541666666666666
airplane+clock_alarm+coughing,0.9166666666666666
airplane+clock_alarm+cow,0.9375
airplane+clock_alarm+crackling_fire,0.9166666666666666
airplane+clock_alarm+crickets,0.8541666666666666
airplane+clock_alarm+crow,0.9375
airplane+clock_alarm+crying_baby,0.9166666666666666
airplane+clock_alarm+dog,0.9166666666666666
airplane+clock_alarm+door_wood_creaks,0.7916666666666666
airplane+clock_alarm+door_wood_knock,0.9791666666666666
airplane+clock_alarm+drinking_sipping,0.9791666666666666
airplane+clock_alarm+engine,0.9583333333333334
airplane+clock_alarm+fireworks,0.9583333333333334
airplane+clock_alarm+footsteps,0.9375
airplane+clock_alarm+frog,0.9166666666666666
airplane+clock_alarm+glass_breaking,0.8958333333333334
airplane+clock_alarm+hand_saw,0.875
airplane+clock_alarm+helicopter,0.8333333333333334
airplane+clock_alarm+hen,0.9166666666666666
airplane+clock_alarm+insects,0.8125
airplane+clock_alarm+keyboard_typing,0.8125
airplane+clock_alarm+laughing,0.9375
airplane+clock_alarm+mouse_click,0.9375
airplane+clock_alarm+pig,0.7708333333333334
airplane+clock_alarm+pouring_water,0.875
airplane+clock_alarm+rain,0.7916666666666666
airplane+clock_alarm+rooster,0.9166666666666666
airplane+clock_alarm+sea_waves,0.875
airplane+clock_alarm+sheep,0.8541666666666666
airplane+clock_alarm+siren,0.875
airplane+clock_alarm+sneezing,0.9375
airplane+clock_alarm+snoring,0.9583333333333334
airplane+clock_alarm+thunderstorm,0.9375
airplane+clock_alarm+toilet_flush,0.9166666666666666
airplane+clock_alarm+train,0.8541666666666666
airplane+clock_alarm+vacuum_cleaner,0.9375
