classes,accuracy
frog+insects,0.8125
frog+keyboard_typing,0.6875
frog+laughing,0.78125
frog+mouse_click,0.75
frog+pig,0.875
frog+pouring_water,0.9375
frog+rain,0.96875
frog+rooster,0.96875
frog+sea_waves,0.90625
frog+sheep,0.6875
frog+siren,0.9375
frog+sneezing,0.96875
frog+snoring,0.84375
frog+thunderstorm,0.84375
frog+toilet_flush,0.96875
frog+train,1.0
frog+vacuum_cleaner,0.9375
frog+washing_machine,0.875
frog+water_drops,0.75
frog+wind,1.0
glass_breaking+hand_saw,0.9375
glass_breaking+helicopter,1.0
glass_breaking+hen,1.0
glass_breaking+insects,0.90625
glass_breaking+keyboard_typing,0.875
glass_breaking+laughing,0.96875
glass_breaking+mouse_click,0.71875
glass_breaking+pig,0.875
glass_breaking+pouring_water,0.875
glass_breaking+rain,0.96875
glass_breaking+rooster,0.9375
glass_breaking+sea_waves,1.0
glass_breaking+sheep,1.0
glass_breaking+siren,1.0
glass_breaking+sneezing,0.75
glass_breaking+snoring,1.0
glass_breaking+thunderstorm,1.0
glass_breaking+toilet_flush,0.9375
glass_breaking+train,1.0
glass_breaking+vacuum_cleaner,0.96875
glass_breaking+washing_machine,1.0
glass_breaking+water_drops,0.8125
glass_breaking+wind,1.0
hand_saw+helicopter,1.0
hand_saw+hen,0.9375
hand_saw+insects,0.90625
hand_saw+keyboard_typing,0.9375
hand_saw+laughing,0.84375
hand_saw+mouse_click,1.0
hand_saw+pig,0.71875
hand_saw+pouring_water,0.8125
hand_saw+rain,0.90625
hand_saw+rooster,0.9375
hand_saw+sea_waves,0.875
hand_saw+sheep,0.90625
hand_saw+siren,0.9375
hand_saw+sneezing,0.96875
hand_saw+snoring,1.0
hand_saw+thunderstorm,1.0
hand_saw+toilet_flush,0.71875
hand_saw+train,1.0
hand_saw+vacuum_cleaner,0.875
hand_saw+washing_machine,0.90625
hand_saw+water_drops,0.96875
hand_saw+wind,1.0
helicopter+hen,0.9375
helicopter+insects,0.8125
helicopter+keyboard_typing,1.0
helicopter+laughing,0.96875
helicopter+mouse_click,0.84375
helicopter+pig,0.90625
helicopter+pouring_water,1.0
helicopter+rain,0.8125
helicopter+rooster,0.96875
helicopter+sea_waves,0.875
helicopter+sheep,0.96875
helicopter+siren,0.90625
helicopter+sneezing,1.0
helicopter+snoring,1.0
helicopter+thunderstorm,0.78125
helicopter+toilet_flush,1.0
helicopter+train,0.75
helicopter+vacuum_cleaner,0.9375
helicopter+washing_machine,0.59375
helicopter+water_drops,0.96875
helicopter+wind,0.5625
hen+insects,0.71875
hen+keyboard_typing,0.75
hen+laughing,0.59375
hen+mouse_click,0.9375
hen+pig,0.6875
hen+pouring_water,0.75
hen+rain,0.84375
hen+rooster,0.90625
hen+sea_waves,0.90625
hen+sheep,0.75
hen+siren,0.875
hen+sneezing,0.90625
hen+snoring,0.96875
hen+thunderstorm,0.9375
hen+toilet_flush,0.875
hen+train,0.9375
hen+vacuum_cleaner,0.96875
hen+washing_machine,0.875
hen+water_drops,0.9375
hen+wind,1.0
insects+keyboard_typing,0.8125
insects+laughing,0.8125
insects+mouse_click,0.75
insects+pig,0.6875
insects+pouring_water,0.875
insects+rain,0.65625
insects+rooster,0.9375
insects+sea_waves,0.8125
insects+sheep,0.90625
insects+siren,0.9375
insects+sneezing,0.90625
insects+snoring,0.875
insects+thunderstorm,0.875
insects+toilet_flush,0.9375
insects+train,0.8125
insects+vacuum_cleaner,0.90625
insects+washing_machine,0.59375
insects+water_drops,0.84375
insects+wind,0.8125
keyboard_typing+laughing,0.59375
keyboard_typing+mouse_click,0.8125
keyboard_typing+pig,0.78125
keyboard_typing+pouring_water,0.6875
keyboard_typing+rain,0.9375
keyboard_typing+rooster,0.875
keyboard_typing+sea_waves,1.0
keyboard_typing+sheep,0.84375
keyboard_typing+siren,0.90625
keyboard_typing+sneezing,0.84375
keyboard_typing+snoring,0.8125
keyboard_typing+thunderstorm,0.96875
keyboard_typing+toilet_flush,0.90625
keyboard_typing+train,0.96875
keyboard_typing+vacuum_cleaner,1.0
keyboard_typing+washing_machine,0.9375
keyboard_typing+water_drops,0.84375
keyboard_typing+wind,0.96875
laughing+mouse_click,0.90625
laughing+pig,0.84375
laughing+pouring_water,0.71875
laughing+rain,0.90625
laughing+rooster,0.65625
laughing+sea_waves,0.84375
laughing+sheep,0.65625
laughing+siren,0.8125
laughing+sneezing,0.84375
laughing+snoring,0.9375
laughing+thunderstorm,0.96875
laughing+toilet_flush,0.84375
laughing+train,0.9375
laughing+vacuum_cleaner,0.9375
laughing+washing_machine,0.90625
laughing+water_drops,0.9375
laughing+wind,1.0
mouse_click+pig,0.875
mouse_click+pouring_water,0.84375
mouse_click+rain,0.875
mouse_click+rooster,1.0
mouse_click+sea_waves,1.0
mouse_click+sheep,0.96875
mouse_click+siren,0.96875
mouse_click+sneezing,0.8125
mouse_click+snoring,0.8125
mouse_click+thunderstorm,0.90625
mouse_click+toilet_flush,0.96875
mouse_click+train,0.96875
mouse_click+vacuum_cleaner,1.0
mouse_click+washing_machine,0.96875
mouse_click+water_drops,0.59375
mouse_click+wind,0.96875
pig+pouring_water,0.71875
pig+rain,0.90625
pig+rooster,0.875
pig+sea_waves,0.90625
pig+sheep,0.625
pig+siren,0.875
pig+sneezing,0.875
pig+snoring,0.78125
pig+thunderstorm,0.90625
pig+toilet_flush,0.96875
pig+train,0.9375
pig+vacuum_cleaner,0.90625
pig+washing_machine,0.8125
pig+water_drops,0.90625
pig+wind,1.0
pouring_water+rain,0.96875
pouring_water+rooster,0.6875
pouring_water+sea_waves,1.0
pouring_water+sheep,0.75
pouring_water+siren,0.90625
pouring_water+sneezing,0.875
pouring_water+snoring,0.9375
pouring_water+thunderstorm,1.0
pouring_water+toilet_flush,0.8125
pouring_water+train,1.0
pouring_water+vacuum_cleaner,1.0
pouring_water+washing_machine,0.96875
pouring_water+water_drops,0.84375
pouring_water+wind,1.0
rain+rooster,0.96875
rain+sea_waves,0.75
rain+sheep,0.84375
rain+siren,0.84375
rain+sneezing,0.96875
rain+snoring,0.90625
rain+thunderstorm,0.90625
rain+toilet_flush,0.875
rain+train,0.6875
rain+vacuum_cleaner,0.78125
rain+washing_machine,0.625
rain+water_drops,0.90625
rain+wind,0.65625
rooster+sea_waves,1.0
rooster+sheep,1.0
rooster+siren,0.96875
rooster+sneezing,0.84375
rooster+snoring,1.0
rooster+thunderstorm,1.0
rooster+toilet_flush,0.9375
rooster+train,1.0
rooster+vacuum_cleaner,1.0
rooster+washing_machine,1.0
rooster+water_drops,0.96875
rooster+wind,1.0
sea_waves+sheep,0.90625
sea_waves+siren,0.90625
sea_waves+sneezing,1.0
sea_waves+snoring,0.96875
sea_waves+thunderstorm,0.9375
sea_waves+toilet_flush,0.90625
sea_waves+train,0.90625
sea_waves+vacuum_cleaner,0.75
sea_waves+washing_machine,0.78125
sea_waves+water_drops,1.0
sea_waves+wind,0.9375
sheep+siren,0.84375
sheep+sneezing,0.90625
sheep+snoring,0.9375
sheep+thunderstorm,0.8125
sheep+toilet_flush,0.90625
sheep+train,0.875
sheep+vacuum_cleaner,0.9375
sheep+washing_machine,0.875
sheep+water_drops,0.96875
sheep+wind,0.96875
siren+sneezing,1.0
siren+snoring,0.9375
siren+thunderstorm,0.9375
siren+toilet_flush,0.9375
siren+train,0.8125
siren+vacuum_cleaner,0.96875
siren+washing_machine,0.9375
siren+water_drops,0.9375
siren+wind,0.96875
sneezing+snoring,1.0
sneezing+thunderstorm,1.0
sneezing+toilet_flush,0.9375
sneezing+train,1.0
sneezing+vacuum_cleaner,1.0
sneezing+washing_machine,1.0
sneezing+water_drops,0.8125
sneezing+wind,1.0
snoring+thunderstorm,0.90625
snoring+toilet_flush,0.9375
snoring+train,0.96875
snoring+vacuum_cleaner,0.96875
snoring+washing_machine,0.8125
snoring+water_drops,0.84375
snoring+wind,0.96875
thunderstorm+toilet_flush,1.0
thunderstorm+train,0.9375
thunderstorm+vacuum_cleaner,1.0
thunderstorm+washing_machine,0.75
thunderstorm+water_drops,0.90625
thunderstorm+wind,0.96875
toilet_flush+train,1.0
toilet_flush+vacuum_cleaner,0.8125
toilet_flush+washing_machine,0.84375
toilet_flush+water_drops,0.96875
toilet_flush+wind,1.0
train+vacuum_cleaner,0.96875
train+washing_machine,0.75
train+water_drops,0.96875
train+wind,0.75
vacuum_cleaner+washing_machine,0.90625
vacuum_cleaner+water_drops,1.0
vacuum_cleaner+wind,0.84375
washing_machine+water_drops,0.9375
washing_machine+wind,0.65625
water_drops+wind,0.9375
